id,visit_date_time
1,"2023-01-18 15:38:00.077139"
2,"2023-01-19 15:07:30.356080"
3,"2023-01-19 15:38:25.709957"
4,"2023-01-19 15:43:35.428847"
5,"2023-01-19 15:43:45.179237"
6,"2023-01-19 17:14:41.780897"
7,"2023-01-19 17:15:12.364299"
8,"2023-01-19 17:19:49.913038"
9,"2023-01-19 17:19:51.453947"
10,"2023-02-19 17:19:52.479778"
11,"2023-02-19 17:19:54.289952"
12,"2023-02-19 17:20:00.353397"
13,"2023-02-19 17:47:24.746341"
14,"2023-02-19 17:50:06.389975"
15,"2023-02-19 17:50:10.233098"
16,"2023-02-19 17:50:17.759217"
17,"2023-02-19 17:50:18.729031"
18,"2023-03-19 17:50:20.991217"
19,"2023-03-19 17:51:00.788337"
20,"2023-03-19 17:51:19.303553"
21,"2023-03-19 17:51:42.429624"
22,"2023-04-19 17:51:59.973658"
23,"2023-04-19 17:52:18.221774"
24,"2023-04-19 17:53:58.634874"
25,"2023-04-20 09:48:59.060243"
26,"2023-04-20 09:49:06.170247"
27,"2023-04-20 09:49:10.430598"
28,"2023-04-20 09:49:17.309722"
29,"2023-04-20 09:49:20.820308"
30,"2023-04-20 10:03:18.446785"
31,"2023-04-20 10:03:39.349541"
32,"2023-04-20 10:04:55.325523"
33,"2023-04-20 10:05:00.326431"
34,"2023-04-20 10:05:28.751627"
35,"2023-04-20 10:05:36.990481"
36,"2023-04-20 10:05:39.495823"
37,"2023-04-21 09:50:54.318083"
38,"2023-04-21 09:52:47.230655"
39,"2023-04-21 09:52:55.746220"
40,"2023-04-21 09:55:28.940059"
41,"2023-04-21 09:55:51.657173"
42,"2023-04-21 09:57:19.372712"
43,"2023-04-21 09:58:42.238580"
44,"2023-04-21 10:02:50.969994"
45,"2023-04-21 10:02:58.764719"
46,"2023-04-21 10:10:42.070508"
47,"2023-04-21 10:15:58.678266"
48,"2023-04-21 10:16:07.892477"
49,"2023-04-21 10:17:50.296471"
50,"2023-04-21 10:17:55.313711"
51,"2023-04-21 10:18:02.091637"
52,"2023-04-21 10:18:20.613305"
53,"2023-04-21 10:18:25.513452"
54,"2023-04-21 15:30:50.073616"
55,"2023-04-21 16:37:31.479783"
56,"2023-04-21 16:37:54.841609"
57,"2023-04-21 16:38:33.363186"
58,"2023-04-21 16:40:49.823644"
59,"2023-04-21 16:51:35.741413"
60,"2023-04-21 16:54:38.989687"
61,"2023-04-21 17:01:16.964426"
62,"2023-04-21 17:01:25.947345"
63,"2023-04-21 17:01:29.728709"
64,"2023-04-21 17:08:37.679532"
65,"2023-04-21 17:08:41.102264"
66,"2023-04-21 17:16:06.337125"
67,"2023-04-21 17:16:08.735326"
68,"2023-04-21 17:16:09.614527"
69,"2023-04-21 17:16:10.331500"
70,"2023-04-21 17:16:10.913386"
71,"2023-04-21 17:16:11.333689"
72,"2023-04-21 17:16:11.791845"
73,"2023-04-21 17:16:12.208236"
74,"2023-04-21 17:16:12.650098"
75,"2023-04-21 17:16:13.012949"
76,"2023-04-21 17:16:13.238439"
77,"2023-04-21 17:16:13.867561"
