ingredient_id,ingredient_name,ingredient_category_id
1,ソーセージ,2
2,ロース,2
3,ヒレ,2
4,もも,2
5,ばら,2
6,豚足,2
7,生ハム,2
8,ベーコン,2
9,"リブロース ",3
10,サーロイン,3
11,ヒレ,3
12,もも,3
13,牛たん,3
14,かも,4
15,手羽先,4
16,むね,4
17,もも,4
18,皮,4
19,軟骨,4
20,つくね,4
21,米粒麦,6
22,大麦めん,6
23,小麦粉,7
24,中力粉,7
25,"強力粉 ",7
26,食パン,8
27,コッペパン,8
28,ロールパン,8
29,ナン,8
30,ベーグル,8
31,うどん,9
32,素麺,9
33,中華麺,9
34,そば,9
35,沖縄そば,9
36,マカロニ,9
37,スパゲッティ,9
38,生パスタ,9
39,ピザ生地,9
40,玄米,10
41,精白米,10
42,あずき,11
43,いんげんまめ,11
44,だいず,11
45,ひよこまめ,11
46,アーモンド,12
47,ぐり,12
48,ごま,12
49,アスパラガス,13
50,えだまめ,13
